address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Ved Volden 5, 5. TV 1425 København K",1425,4000000.0,23-05-2017,Alm.,43956,3,Lejlighed,91,1938,0 %
"Rådhusstræde 4C, 1 1466 København K",1466,4895000.0,18-05-2017,Alm.,46619,3,Lejlighed,105,1796,0 %
"Store Kongensgade 112A, 3 1264 København K",1264,250000.0,15-05-2017,Andet,1851,2,Lejlighed,135,1860,
"Amaliegade 13G, 2 1256 København K",1256,7375000.0,15-05-2017,Alm.,75255,3,Lejlighed,98,1948,9 %
"Borgergade 144, 3. TH 1300 København K",1300,5825000.0,10-05-2017,Alm.,57673,3,Lejlighed,101,1854,3 %
"Nørre Søgade 9A, 1. TH 1370 København K",1370,1126250.0,10-05-2017,Fam.,10525,3,Lejlighed,107,1882,
"Wildersgade 22, ST 1408 København K",1408,1556700.0,09-05-2017,Alm.,17689,3,Lejlighed,88,1858,
"Toldbodgade 10A, 1 1253 København K",1253,3750000.0,08-05-2017,Fam.,20380,5,Lejlighed,184,1862,
"Andreas Bjørns Gade 4, 3. TH 1428 København K",1428,1700000.0,05-05-2017,Alm.,31481,2,Lejlighed,54,1901,
"Sølvgade 15, 4. TH 1307 København K",1307,4215000.0,04-05-2017,Alm.,52037,3,Lejlighed,81,1957,-2 %
"Linnésgade 16A, 1 1361 København K",1361,6300000.0,04-05-2017,Alm.,40645,5,Lejlighed,155,1880,
"Store Kongensgade 63A, ST. 4 1264 København K",1264,1780000.0,03-05-2017,Fam.,18163,3,Lejlighed,98,1932,
"Peder Skrams Gade 28, 2. TV 1054 København K",1054,4080000.0,03-05-2017,Alm.,53684,3,Lejlighed,76,1870,0 %
"Brobergsgade 14, 1. TV 1427 København K",1427,2750000.0,02-05-2017,Alm.,55000,2,Lejlighed,50,1902,-8 %
"Sølvgade 13, 2. TV 1307 København K",1307,3150000.0,01-05-2017,Alm.,43150,3,Lejlighed,73,1957,
"Ny Adelgade 9, 2. TH 1104 København K",1104,1950000.0,01-05-2017,Alm.,27857,3,Lejlighed,70,1800,-44 %
"Lavendelstræde 9, 2. TV 1462 København K",1462,1550000.0,01-05-2017,Alm.,23484,2,Lejlighed,66,1799,
"Åbenrå 10, 2. 5 1124 København K",1124,1650000.0,01-05-2017,Alm.,23571,2,Lejlighed,70,1972,
"Grønnegade 31, 3. TV 1107 København K",1107,1200000.0,01-05-2017,Alm.,24489,2,Lejlighed,49,1741,
"Badstuestræde 16, 2 1209 København K",1209,2700000.0,01-05-2017,Alm.,27835,4,Lejlighed,97,1797,
"Nørre Voldgade 70, 4 1358 København K",1358,1870000.0,28-04-2017,Fam.,18888,4,Lejlighed,99,1677,
"Fredericiagade 25, 5. 1 1310 København K",1310,3150000.0,27-04-2017,Alm.,26694,3,Lejlighed,118,1968,
"Sølvgade 19, 2. MF 1307 København K",1307,2425000.0,27-04-2017,Alm.,49489,2,Lejlighed,49,1806,-3 %
"David Balfours Gade 3, ST. TV 1402 København K",1402,3100000.0,27-04-2017,Alm.,37349,2,Lejlighed,83,2002,
"Vimmelskaftet 36A, 3. TH 1161 København K",1161,3695000.0,27-04-2017,Alm.,43988,3,Lejlighed,84,1857,-3 %
"Store Kongensgade 110C, 3. TV 1264 København K",1264,3050000.0,27-04-2017,Fam.,25847,3,Lejlighed,118,1838,
"Andreas Bjørns Gade 10, 3. TV 1428 København K",1428,2367000.0,26-04-2017,Alm.,44660,2,Lejlighed,53,1901,
"Grønnegade 31, 4 1107 København K",1107,3950000.0,26-04-2017,Alm.,54109,2,Lejlighed,73,1741,0 %
"Peder Skrams Gade 27, 3. TH 1054 København K",1054,6250000.0,26-04-2017,Alm.,55803,4,Lejlighed,112,1900,
"Andreas Bjørns Gade 22, 3. TH 1428 København K",1428,2900000.0,25-04-2017,Alm.,52727,2,Lejlighed,55,1901,-3 %
"Kronprinsessegade 10, 4. TV 1306 København K",1306,4350000.0,25-04-2017,Alm.,43069,3,Lejlighed,101,1803,-3 %
"Bartholinsgade 11, 1. TV 1356 København K",1356,841000.0,25-04-2017,Alm.,16173,2,Lejlighed,52,1880,
"Sankt Peders Stræde 17, 2 1453 København K",1453,4125000.0,25-04-2017,Alm.,38915,3,Lejlighed,106,1809,-8 %
"Ved Volden 11, 4. TH 1425 København K",1425,4900000.0,24-04-2017,Alm.,50515,4,Lejlighed,97,1938,-2 %
Luftmarinegade 38 1432 København K,1432,2485131.0,24-04-2017,Fam.,18139,5,Rækkehus,137,2012,
"Gernersgade 5, ST. TV 1319 København K",1319,1950000.0,21-04-2017,Alm.,52702,2,Lejlighed,37,1854,
"Ahlefeldtsgade 26, 4. TV 1359 København K",1359,2115000.0,20-04-2017,Fam.,25792,3,Lejlighed,82,1888,
"Dronningens Tværgade 36, 4. 1 1302 København K",1302,1785000.0,20-04-2017,Fam.,21768,3,Lejlighed,82,1957,
"Nikolajgade 20, 2. TV 1068 København K",1068,3500000.0,20-04-2017,Alm.,38043,4,Lejlighed,92,1799,
"Strandgade 12, 3 1401 København K",1401,7170000.0,19-04-2017,Alm.,31447,6,Lejlighed,228,1720,-4 %
"Store Kongensgade 90, 2. TH 1264 København K",1264,7500000.0,19-04-2017,Alm.,47468,6,Lejlighed,158,1880,2 %
"Gothersgade 147, 3. TV 1123 København K",1123,3622500.0,19-04-2017,Alm.,53272,3,Lejlighed,68,1877,
Bohlendachvej 30 1437 København K,1437,14200000.0,18-04-2017,Alm.,82080,4,Rækkehus,173,1867,-2 %
"Naboløs 2, 2. TH 1206 København K",1206,3595000.0,18-04-2017,Alm.,39944,3,Lejlighed,90,1797,0 %
"Nørre Voldgade 24, 4. MF 1358 København K",1358,1657500.0,12-04-2017,Fam.,21525,2,Lejlighed,77,1812,
"Nørregade 43B, 4. TV 1165 København K",1165,1487500.0,12-04-2017,Fam.,19833,2,Lejlighed,75,1810,
"Frederiksberggade 5, 3 1459 København K",1459,3817000.0,11-04-2017,Andet,32347,3,Lejlighed,118,1920,
"Andreas Bjørns Gade 6, 5. TH 1428 København K",1428,2600000.0,10-04-2017,Alm.,55319,2,Lejlighed,47,1901,-2 %
"Lille Strandstræde 22, 3. 9 1254 København K",1254,3550000.0,07-04-2017,Fam.,29583,2,Lejlighed,120,1900,
"Christianshavns Voldgade 17, 1. TH 1424 København K",1424,2300000.0,07-04-2017,Alm.,38983,2,Lejlighed,59,1914,
"Strandgade 12, 2 1401 København K",1401,11995000.0,05-04-2017,Alm.,43777,6,Lejlighed,274,1720,
"Esplanaden 26, 1 1263 København K",1263,12900000.0,05-04-2017,Andet,59447,7,Lejlighed,217,1882,
"Løngangstræde 21, 4. TH 1468 København K",1468,5195000.0,04-04-2017,Alm.,45173,3,Lejlighed,115,1877,
"Amaliegade 13B, 5. TH 1256 København K",1256,2200000.0,03-04-2017,Fam.,28205,1,Lejlighed,78,1962,
