address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Matthæusgade 16, 1. TV 1666 København V",1666,1800000.0,23-05-2017,Fam.,23684,4,Lejlighed,76,1882,
"H.C. Andersens Boulevard 40A, 5. TH 1553 København V",1553,3000000.0,21-05-2017,Fam.,26548,4,Lejlighed,113,1903,
"Vesterbrogade 36, 3 1620 København V",1620,7825000.0,18-05-2017,Alm.,36059,8,Lejlighed,217,1867,
"Flensborggade 7, 4. TH 1669 København V",1669,1322500.0,18-05-2017,Fam.,24952,2,Lejlighed,53,1897,
"Eskildsgade 2, 2. TV 1657 København V",1657,2400000.0,18-05-2017,Fam.,15789,5,Lejlighed,152,1880,
"Dybbølsgade 13, 4. TH 1721 København V",1721,1100000.0,11-05-2017,Fam.,18333,2,Lejlighed,60,1908,
"Sommerstedgade 19, 4. TH 1718 København V",1718,1495000.0,08-05-2017,Fam.,26228,2,Lejlighed,57,1904,
"Viktoriagade 8D, 2. TH 1655 København V",1655,4125000.0,08-05-2017,Alm.,52215,3,Lejlighed,79,1860,3 %
"Puggaardsgade 14, 2. TH 1573 København V",1573,1907500.0,08-05-2017,Fam.,18166,3,Lejlighed,105,1917,
"Valdemarsgade 66, 3. TV 1665 København V",1665,2625000.0,04-05-2017,Alm.,50480,2,Lejlighed,52,1900,1 %
"Vesterbrogade 106B, ST. TH 1620 København V",1620,3195000.0,03-05-2017,Alm.,39444,3,Lejlighed,81,1884,0 %
"Esbern Snares Gade 4, 1. TV 1725 København V",1725,1755000.0,28-04-2017,Fam.,30258,2,Lejlighed,58,1904,
"Halmtorvet 29B, 5. TH 1700 København V",1700,2550000.0,27-04-2017,Fam.,20400,4,Lejlighed,125,1908,-51 %
"Puggaardsgade 8, 5. TV 1573 København V",1573,4220000.0,26-04-2017,Alm.,41782,3,Lejlighed,101,1908,-5 %
"Esbern Snares Gade 4, 4. TH 1725 København V",1725,4150000.0,25-04-2017,Alm.,48823,3,Lejlighed,85,1904,-3 %
"Matthæusgade 50, 3. 18 1666 København V",1666,800000.0,24-04-2017,Fam.,20512,1,Lejlighed,39,1971,
"Oehlenschlægersgade 23, ST. TH 1663 København V",1663,2750000.0,24-04-2017,Alm.,38194,3,Lejlighed,72,1883,0 %
"Enghavevej 21, 2. TV 1674 København V",1674,2185000.0,23-04-2017,Alm.,45520,2,Lejlighed,48,1895,-3 %
"Istedgade 1, 5 1650 København V",1650,1995000.0,21-04-2017,Fam.,18136,4,Lejlighed,110,1886,
"Sankelmarksgade 17, 3. TH 1676 København V",1676,1487500.0,20-04-2017,Fam.,17708,3,Lejlighed,84,1901,
"Arkonagade 16, 1. TH 1726 København V",1726,4100000.0,19-04-2017,Alm.,54666,2,Lejlighed,75,1905,3 %
"Matthæusgade 54, 1. 2 1666 København V",1666,1850000.0,19-04-2017,Alm.,35576,2,Lejlighed,52,1971,-2 %
"Godsbanegade 18, ST. TH 1722 København V",1722,2100000.0,12-04-2017,Alm.,38181,2,Lejlighed,55,1902,-4 %
"Trommesalen 3B, 2 1614 København V",1614,3150000.0,12-04-2017,Alm.,45652,2,Lejlighed,69,1883,5 %
"Esbern Snares Gade 5, ST. TH 1725 København V",1725,3335000.0,09-04-2017,Alm.,43881,4,Lejlighed,76,1904,-2 %
"Esbern Snares Gade 6, 1. TV 1725 København V",1725,2650000.0,09-04-2017,Alm.,45689,2,Lejlighed,58,1904,-2 %
"Asger Rygs Gade 4, 2. TH 1727 København V",1727,1342511.0,07-04-2017,Alm.,21309,2,Lejlighed,63,1907,
"Enghavevej 31, 5. 47 1674 København V",1674,1350000.0,07-04-2017,Alm.,35526,1,Lejlighed,38,1971,0 %
"Asger Rygs Gade 6, 4. TV 1727 København V",1727,2795000.0,07-04-2017,Alm.,45819,2,Lejlighed,61,1907,0 %
"Krusågade 35, 2. TV 1719 København V",1719,646000.0,03-04-2017,Alm.,7258,3,Lejlighed,89,1908,
"Matthæusgade 50, 4. 29 1666 København V",1666,1750000.0,02-04-2017,Alm.,28688,2,Lejlighed,61,1971,
"Vesterbrogade 2D, 3 1620 København V",1620,6000000.0,31-03-2017,Alm.,27397,1,Lejlighed,219,1942,-14 %
"Flensborggade 25, ST. TV 1669 København V",1669,1600000.0,30-03-2017,Fam.,30769,2,Lejlighed,52,1897,
"Havneholmen 38, 3. TV 1561 København V",1561,3610000.0,29-03-2017,Alm.,51571,2,Lejlighed,70,2008,3 %
"Halmtorvet 29B, 3. MF 1700 København V",1700,3800000.0,28-03-2017,Alm.,44186,2,Lejlighed,86,1908,
"Dannebrogsgade 31, ST. TV 1660 København V",1660,1275000.0,28-03-2017,Fam.,20564,2,Lejlighed,62,2003,
"Vesterbrogade 119A, 5 1620 København V",1620,2700000.0,27-03-2017,Fam.,28125,3,Lejlighed,96,1899,
"Enghavevej 25, ST. TH 1674 København V",1674,2595000.0,27-03-2017,Alm.,29827,3,Lejlighed,87,1895,0 %
"Enghavevej 25, 2. TV 1674 København V",1674,3150000.0,23-03-2017,Alm.,37951,3,Lejlighed,83,1895,0 %
"Ny Carlsberg Vej 6, 3. TV 1760 København V",1760,3375000.0,22-03-2017,Fam.,39244,3,Lejlighed,86,1905,
"Oehlenschlægersgade 23, 5. TV 1663 København V",1663,3320000.0,22-03-2017,Alm.,47428,3,Lejlighed,70,1883,-2 %
"Vesterbrogade 104, ST. TH 1620 København V",1620,2500000.0,22-03-2017,Alm.,34246,3,Lejlighed,73,1885,0 %
