address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Vælddalen 14 8370 Hadsten,14,5200000.0,05-05-2017,Fam.,16938,6,Villa,307,2001,
Østervænget 38 8370 Hadsten,38,466729.0,30-04-2017,Fam.,2430,7,Villa,192,1965,-64 %
Finlandsvej 10 8370 Hadsten,10,1850000.0,26-04-2017,Alm.,14919,5,Villa,124,1978,0 %
Østervænget 56 8370 Hadsten,56,1190000.0,25-04-2017,Alm.,9834,4,Villa,121,1973,-8 %
Hvalløsvej 44 8370 Hadsten,44,45580.0,24-04-2017,Alm.,250,4,Stuehus,182,1878,
Tellusvej 13 8370 Hadsten,13,2200000.0,17-04-2017,Alm.,15714,5,Villa,140,1994,-6 %
Lyngåvej 2 8370 Hadsten,2,450000.0,10-04-2017,Alm.,2368,6,Villa,190,1930,-24 %
Vermundsvej 19 8370 Hadsten,19,2075000.0,07-04-2017,Alm.,12968,6,Villa,160,1969,1 %
Faurskovvej 19 8370 Hadsten,19,1300000.0,05-04-2017,Alm.,13000,3,Stuehus,100,1922,-16 %
Hadstenvej 33 8370 Hadsten,33,280000.0,04-04-2017,Alm.,3500,6,Villa,80,1900,-20 %
Vegavej 20 8370 Hadsten,20,2048000.0,28-03-2017,Alm.,15170,5,Villa,135,1965,0 %
Vælddalen 7 8370 Hadsten,7,2800000.0,20-03-2017,Alm.,18543,5,Villa,151,1999,
Rødkælkevej 20 8370 Hadsten,20,1050000.0,20-03-2017,Andet,7094,5,Villa,148,2004,
Nattergalevej 4 8370 Hadsten,4,1695000.0,10-03-2017,Alm.,10089,5,Villa,168,1967,0 %
Solsortevej 9 8370 Hadsten,9,1175000.0,09-03-2017,Alm.,6638,7,Villa,177,1964,-13 %
St.St.Blichers Vej 17 8370 Hadsten,17,1898000.0,07-03-2017,Alm.,12824,5,Villa,148,1974,0 %
